"resource","config","cores","id","metric","value"
"Amazon-Graviton2-48","v2206",48,2,"runtime",741.656554629
"Amazon-Graviton2-48","v2206",48,8,"runtime",704.894533157
"Amazon-Graviton2-48","v2206",48,3,"runtime",692.558822398
"Amazon-Graviton2-48","v2206",48,1,"runtime",722.860720049
"Amazon-Graviton2-48","v2206",48,5,"runtime",723.132233658
"Amazon-Graviton2-48","v2206",48,7,"runtime",705.909321219
"Amazon-Graviton2-48","v2206",48,6,"runtime",708.454122934
"Amazon-Graviton2-48","v2206",48,9,"runtime",729.726308589
"Amazon-Graviton2-48","v2206",48,10,"runtime",705.639241926
"Amazon-Graviton2-48","v2206",48,4,"runtime",732.15865005
"Google-Ampere-Altra","v2206",48,2,"runtime",657.21905486
"Google-Ampere-Altra","v2206",48,8,"runtime",661.038471447
"Google-Ampere-Altra","v2206",48,3,"runtime",671.908996062
"Google-Ampere-Altra","v2206",48,1,"runtime",678.633937196
"Google-Ampere-Altra","v2206",48,5,"runtime",658.386210042
"Google-Ampere-Altra","v2206",48,7,"runtime",670.244007919
"Google-Ampere-Altra","v2206",48,6,"runtime",680.472424276
"Google-Ampere-Altra","v2206",48,9,"runtime",655.302991475
"Google-Ampere-Altra","v2206",48,10,"runtime",642.15633508
"Google-Ampere-Altra","v2206",48,4,"runtime",670.208209739
"Stampede2-SKX","v2206",48,2,"runtime",622.96620195
"Stampede2-SKX","v2206",48,8,"runtime",635.018269064
"Stampede2-SKX","v2206",48,3,"runtime",660.970641027
"Stampede2-SKX","v2206",48,1,"runtime",616.236239223
"Stampede2-SKX","v2206",48,5,"runtime",650.527499383
"Stampede2-SKX","v2206",48,7,"runtime",611.169630573
"Stampede2-SKX","v2206",48,6,"runtime",625.828588433
"Stampede2-SKX","v2206",48,9,"runtime",673.054108961
"Stampede2-SKX","v2206",48,10,"runtime",671.388527217
"Stampede2-SKX","v2206",48,4,"runtime",634.932998047
"Stampede2-ICX","v2206, 48",48,2,"runtime",421.559375035
"Stampede2-ICX","v2206, 48",48,8,"runtime",425.231139169
"Stampede2-ICX","v2206, 48",48,3,"runtime",412.256635101
"Stampede2-ICX","v2206, 48",48,1,"runtime",417.168053949
"Stampede2-ICX","v2206, 48",48,5,"runtime",396.010119344
"Stampede2-ICX","v2206, 48",48,7,"runtime",432.427216362
"Stampede2-ICX","v2206, 48",48,6,"runtime",418.905016903
"Stampede2-ICX","v2206, 48",48,9,"runtime",416.942626402
"Stampede2-ICX","v2206, 48",48,10,"runtime",404.979364462
"Stampede2-ICX","v2206, 48",48,4,"runtime",442.074105121
"Stampede2-ICX","v2206, 80",80,2,"runtime",389.215437284
"Stampede2-ICX","v2206, 80",80,8,"runtime",405.670701468
"Stampede2-ICX","v2206, 80",80,3,"runtime",402.649677814
"Stampede2-ICX","v2206, 80",80,1,"runtime",403.470586458
"Stampede2-ICX","v2206, 80",80,5,"runtime",397.503872518
"Stampede2-ICX","v2206, 80",80,7,"runtime",388.26954238
"Stampede2-ICX","v2206, 80",80,6,"runtime",408.136490451
"Stampede2-ICX","v2206, 80",80,9,"runtime",422.167009868
"Stampede2-ICX","v2206, 80",80,10,"runtime",385.293301884
"Stampede2-ICX","v2206, 80",80,4,"runtime",388.019603364
"Anvil","v2206, 48",48,2,"runtime",387.178991174
"Anvil","v2206, 48",48,8,"runtime",386.995123135
"Anvil","v2206, 48",48,3,"runtime",401.786027199
"Anvil","v2206, 48",48,1,"runtime",377.64649658
"Anvil","v2206, 48",48,5,"runtime",410.956478775
"Anvil","v2206, 48",48,7,"runtime",396.319473494
"Anvil","v2206, 48",48,6,"runtime",394.806539677
"Anvil","v2206, 48",48,9,"runtime",390.500514065
"Anvil","v2206, 48",48,10,"runtime",398.286346325
"Anvil","v2206, 48",48,4,"runtime",385.142837921
